Role,Name
Additional Sound Design,Andrew Lackey
Additional Sound Design,Geoffrey Garnett
Additional Sound Design,Warner Bros. Sound
Additional Sound Design,Bryan Watkins
Additional Sound Design,Mitchell Osias
Foley Services - Game,Warner Bros. Sound
Foley Services - Game,John Roesch
Foley Services - Game,Alyson Moore
Foley Services - Game,Mary Jo Lang
Additional Sound Producers,Sarah Hoist
Additional Sound Producers,Jessica Louché
CINEMATIC Supervising Sound Designer,Paul Menichini
Cinematic Sound Producer,Caroline Hernandez
Composer - Cinematics,Neal Acree
Sound Design,David Farmer
Sound Design,Stuart Provine
Sound Design,Chris Kowalski
Foley Artist,Gregg Barbanell
Foley Mixer,Darin Mann
Cinematic Re-Recording Mixer,Thomas C. Brewer
Cinematic Sound Editor,Clinton Jones
Cinematic Sound Editor,Alexander Ephraim
MUSIC Lead Composer,Russell Brower
Composers,Neal Acree
Composers,Sam Cardon
Composers,Derek Duke
Composers,Edo Guidotti
Composers,Jeremy Soule
Composers,Glenn Stafford
Score Performed By,Northwest Sinfonia and Chorus
Score Performed By,Contracted by Simon James and David Sabee
Featured Musicians,Erhu solos by Jiebing Chen
Featured Musicians,Guzheng solos by Cynthia Hsiang
Featured Musicians,Dizi solos by Chris Bleth
Orchestration,M.W. Alexander
Orchestration,Kurt Bestor
Orchestration,Nick Greer
Orchestration,Ira Hearshen
Orchestration,Larry Kenton
Orchestration,Penka Kouneva
Orchestral Scoring Mixer,John Kurlander
Orchestral Sub-Mixes,John Rodd
Live Sessions and Orchestration Produced By,Edo Guidotti
Music Preparation,Robert Puff
Music Preparation,PRM Seattle Music Preparation
Orchestra and Choir Stems Mixed at,Atlantis Group
Orchestra and Choir Stems Mixed at,John Kurlander
Pro Tools Operator/Editor,Jorge Velasco
Original Soundtrack Mastered By,Patricia Sullivan at Bernie Grundman Mastering
Original Soundtrack Mastered By,Hollywood
Original Soundtrack Mastered By,CA
VOICE Casting and Voice Director,Andrea Toyias
Additional Voice Direction,Andrea Romano
Voice Over Producer,Tina T. Nguyen
Design & Editing,Chris De La Pena
Design & Editing,Peter Steinbach
Dialogue Engineers & Recording,L.A. Studios
Voice Over Cast,Lauren Tom
Voice Over Cast,Matthew Yang King
Voice Over Cast,Jim Cummings
Voice Over Cast,James Hong
Voice Over Cast,Keone Young
Voice Over Cast,Patrick Seitz
Voice Over Cast,David Lodge
Voice Over Cast,Laura Bailey
Voice Over Cast,Jon Olson
Voice Over Cast,Michael Hawley
Voice Over Cast,Kate Higgins
Voice Over Cast,Courtenay Taylor
Voice Over Cast,Fred Tatasciore
Voice Over Cast,Eric Bauza
Voice Over Cast,Todd Stone
Voice Over Cast,David Shaugnessy
Voice Over Cast,Alyson Reed
Voice Over Cast,Jamieson Price
Voice Over Cast,Barry Dennen
Voice Over Cast,Travis Willingham
Voice Over Cast,Gideon Emery
Voice Over Cast,Jim Pirri
Voice Over Cast,Neil Kaplan
Voice Over Cast,Dave Mallow
Voice Over Cast,Jim Meskimen
Voice Over Cast,Daniel Riordan
Voice Over Cast,Jim Ward
Voice Over Cast,Richard Green
Voice Over Cast,Cree Summer
Voice Over Cast,Liam O’brien
Voice Over Cast,Crispin Freeman
